Source identifier ,Source latitude (deg),Source longitude (deg),Vista ID,Source type ,IPCC sector,N overflights,Source Persistence (f),Confidence in persistence ,Qsource (kg/hr),sQ  (kg/hr),,
S00858,35.3026,-119.6898,FLD000023,oil/gas gathering line,1B2 Oil & Natural Gas,3,0.67,0.6,344.3,165.6,,
S00861,35.3165,-119.6716,FLD000277,oil/gas pumpjack,1B2 Oil & Natural Gas,10,0.4,0.9,46.6,14.5,,
S00862,35.3162,-119.6699,FLD000277,oil/gas pumpjack,1B2 Oil & Natural Gas,10,0.5,0.9,43.2,11.1,,
S00865,35.2931,-119.5697,FLD000018,oil/gas gathering line,1B2 Oil & Natural Gas,11,0.36,1.0,117.2,47.6,,
S00866,35.3133,-119.5678,FLD000140,oil/gas pumpjack,1B2 Oil & Natural Gas,6,0.17,0.8,14.1,10.8,,
S00868,35.2735,-119.3936,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,13,0.08,1.0,20.2,6.2,,
S00869,35.3470,-119.6575,FLD000112,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,8,0.63,0.9,27.7,17.8,,
S00870,35.3238,-119.6774,FLD000277,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,6,0.17,0.8,19.4,6.9,,
S00871,35.0230,-119.0737,NA,oil/gas gathering line,1B2 Oil & Natural Gas,7,0.29,0.9,360.0,115.6,,
S00873,34.9932,-119.0918,FLD000341,oil/gas tank,1B2 Oil & Natural Gas,2,0.5,0.4,217.6,58.9,,
S00874,35.2539,-119.5868,LNF000030,oil/gas gathering line,1B2 Oil & Natural Gas,8,0.63,0.9,120.0,37.4,,
S00875,35.2479,-119.5809,LNF000030,oil/gas gathering line,1B2 Oil & Natural Gas,6,0.17,0.8,30.8,13.2,,
S00876,35.0798,-119.3715,FLD000285,oil/gas gathering line,1B2 Oil & Natural Gas,3,0.33,0.6,46.6,13.4,,
S00877,35.1151,-119.4668,FLD000285,oil/gas gathering line,1B2 Oil & Natural Gas,7,0.14,0.9,24.7,3.4,,
S00878,35.1311,-119.4866,LNF000028,oil/gas gathering line,1B2 Oil & Natural Gas,5,0.2,0.8,26.4,3.7,,
S00879,35.2781,-119.6008,FLD000285,oil/gas possible plugged well,1B2 Oil & Natural Gas,8,0.13,0.9,9.7,0.8,,
S00880,35.3597,-119.6606,FLD000112,oil/gas pumpjack,1B2 Oil & Natural Gas,10,0.5,0.9,166.9,13.1,,
S00883,35.4297,-119.6901,FLD000028,oil/gas tank,1B2 Oil & Natural Gas,3,0.33,0.6,64.0,13.5,,
S00885,35.3417,-119.6460,FLD000112,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,4,0.25,0.7,47.9,13.5,,
S00886,35.2479,-119.5813,LNF000030,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,6,0.17,0.8,131.3,51.3,,
S00887,35.2657,-119.5943,FLD000285,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,3,0.33,0.6,106.9,48.0,,
S00890,35.0615,-119.3907,FLD000285,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,6,0.33,0.8,35.1,4.6,,
S00891,35.1017,-119.4594,FLD000285,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,3,0.33,0.6,129.9,17.0,,
S00892,37.6275,-120.9319,NA,powerplant,1A1 Energy Industries,1,1,0.3,113.4,57.6,,
S00893,36.8046,-121.7772,NA,powerplant,1A1 Energy Industries,1,1,0.3,85.1,29.1,,
S00894,34.3974,-118.6432,NPP000020,oil/gas gathering line,1B2 Oil & Natural Gas,3,0.33,0.6,25.3,11.9,,
S00897,33.8513,-118.3316,REF000006,refinery,1A1 Energy Industries,18,0.17,1.0,8.0,2.9,,
S00899,33.8473,-118.3188,REF000006,refinery,1A1 Energy Industries,14,0.07,1.0,11.1,2.9,,
S00902,38.0132,-121.8579,NA,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,4,0.25,0.7,54.6,18.1,,
S00903,35.5185,-119.0781,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,15,0.07,1.0,15.2,1.7,,
S00904,35.4814,-119.0781,FLD000344,oil/gas tank,1B2 Oil & Natural Gas,27,0.07,1.0,24.1,4.3,,
S00905,33.8511,-118.3947,FLD000468,powerplant,1A1 Energy Industries,13,0.08,1.0,6.3,1.6,,
S00908,38.0404,-122.2518,REF000014,refinery,1A1 Energy Industries,17,0.18,1.0,3.5,2.6,,
S00910,35.4388,-119.1324,FLD000379,oil/gas tank,1B2 Oil & Natural Gas,3,0.33,0.6,16.5,5.3,,
S00911,35.4346,-119.1411,FLD000379,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,5,0.2,0.8,34.5,4.9,,
S00914,32.6943,-117.1465,NA,powerplant,1A1 Energy Industries,1,1,0.3,515.4,104.7,,
S00916,35.1380,-119.3034,NGS0849,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,2,0.5,0.4,148.4,37.4,,
S00917,35.4326,-119.1434,NPP000011,oil/gas tank,1B2 Oil & Natural Gas,4,0.25,0.7,28.3,8.7,,
S00918,33.8112,-118.1748,NPP000023,gas processing plant,1B2 Oil & Natural Gas,5,0.2,0.8,105.6,48.5,,
S00919,37.9530,-122.3994,REF000004,refinery,1A1 Energy Industries,13,0.31,1.0,48.9,26.9,,
S00921,37.4945,-120.9646,DAF000732,dairy/manure,3A2 Manure Management,2,0.5,0.4,71.9,28.2,,
S00922,37.4945,-120.9812,DAF000718,dairy/manure,3A2 Manure Management,2,0.5,0.4,27.6,9.3,,
S00923,34.3382,-119.0129,FLD000428,oil/gas gathering line,1B2 Oil & Natural Gas,2,0.5,0.4,202.1,25.1,,
S00924,34.3618,-118.9222,FLD000020,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,3,0.33,0.6,38.4,5.8,,
S00925,34.2617,-118.4076,NA,gas distribution line,1B2 Oil & Natural Gas,2,0.5,0.4,45.8,10.6,,
S00927,34.2469,-118.3898,NA,powerplant,1A1 Energy Industries,2,0.5,0.4,47.9,14.0,,
S00929,34.4290,-118.5899,WWT000060,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,20,0.3,1.0,19.3,8.1,,
S00930,34.2985,-119.2996,NA,oil/gas compressor,1B2 Oil & Natural Gas,4,0.25,0.7,86.0,20.1,,
S00932,35.0122,-118.9624,FLD000454,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,4,0.25,0.7,283.3,33.4,,
S00934,33.8050,-118.2724,FLD000507,oil/gas pumpjack,1B2 Oil & Natural Gas,12,0.08,1.0,84.1,21.1,,
S00935,33.7747,-118.2905,REF000013,refinery,1A1 Energy Industries,11,0.09,1.0,71.2,19.5,,
S00936,33.8042,-118.2439,REF000012,refinery,1A1 Energy Industries,19,0.26,1.0,57.7,29.0,,
S00938,33.8051,-118.2459,REF000012,refinery,1A1 Energy Industries,19,0.05,1.0,3.1,1.0,,
S00939,33.7835,-118.2344,REF000020,refinery,1A1 Energy Industries,16,0.06,1.0,14.1,5.2,,
S00940,33.7763,-118.2292,REF000025,refinery,1A1 Energy Industries,13,0.15,1.0,17.2,9.0,,
S00941,33.8045,-118.2445,REF000012,refinery,1A1 Energy Industries,20,0.15,1.0,48.8,21.6,,
S00943,33.8036,-118.2847,WWT000059,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,13,0.23,1.0,75.8,36.5,,
S00944,33.8023,-118.2793,WWT000059,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,18,0.06,1.0,2.2,1.3,,
S00947,37.9191,-122.3667,NA,gas LNG station,1B2 Oil & Natural Gas,7,0.14,0.9,7.4,2.7,,
S00949,35.4788,-119.7541,NPP000003,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,3,0.33,0.6,191.8,87.9,,
S00951,35.3067,-119.7100,FLD000023,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,3,0.33,0.6,48.3,16.0,,
S00953,35.4377,-119.0089,FLD000208,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,8,0.13,0.9,15.7,4.1,,
S00954,35.4426,-119.0006,FLD000208,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,8,0.13,0.9,11.5,2.7,,
S00957,36.1489,-119.2780,DAF000171,dairy/manure,3A2 Manure Management,14,0.07,1.0,8.0,3.4,,
S00958,36.2256,-119.1644,DAF000395,dairy/manure,3A2 Manure Management,7,0.14,0.9,23.6,9.8,,
S00959,36.2286,-119.1659,DAF000395,dairy/manure,3A2 Manure Management,7,0.14,0.9,14.9,4.5,,
S00960,36.2313,-119.1642,DAF000395,dairy/manure,3A2 Manure Management,8,0.13,0.9,27.5,11.3,,
S00962,33.8187,-118.2361,REF000021,refinery,1A1 Energy Industries,12,0.08,1.0,21.4,12.7,,
S00967,35.2018,-119.0538,DAF000422,dairy/manure,3A2 Manure Management,11,0.09,1.0,4.3,0.6,,
S00968,35.2014,-119.0499,DAF000422,dairy/manure,3A2 Manure Management,16,0.06,1.0,4.6,0.8,,
S00969,35.2824,-119.4735,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,19,0.26,1.0,28.1,10.3,,
S00970,35.2881,-119.4219,FLD000140,oil/gas pumpjack,1B2 Oil & Natural Gas,6,0.17,0.8,26.8,12.9,,
S00972,35.2849,-119.4841,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,16,0.06,1.0,9.0,0.9,,
S00973,35.2967,-119.5374,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,10,0.4,0.9,62.4,27.0,,
S00974,35.2647,-119.4127,FLD000140,oil/gas gathering line,1B2 Oil & Natural Gas,11,0.09,1.0,17.7,13.5,,
S00975,35.2783,-119.4829,FLD000140,gas processing plant,1B2 Oil & Natural Gas,19,0.05,1.0,9.5,2.3,,
S00976,35.1872,-119.1119,DAF000891,dairy/manure,3A2 Manure Management,17,0.12,1.0,9.7,4.2,,
S00977,35.2073,-119.1715,DAF000589,dairy/manure,3A2 Manure Management,13,0.08,1.0,8.6,4.2,,
S00978,33.9264,-118.4303,WWT000068,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,12,0.08,1.0,2.2,1.5,,
S00979,35.2013,-119.0528,DAF000422,dairy/manure,3A2 Manure Management,12,0.17,1.0,19.6,4.6,,
S00980,35.2027,-119.1726,DAF000589,dairy/manure,3A2 Manure Management,16,0.06,1.0,6.8,4.5,,
S00981,35.4779,-119.4479,DAF000604,dairy/manure,3A2 Manure Management,18,0.06,1.0,4.4,0.4,,
S00982,35.9353,-119.3988,DAF000729,dairy/manure,3A2 Manure Management,2,0.5,0.4,391.6,114.1,,
S00983,35.9463,-119.3980,DAF000531,dairy/manure,3A2 Manure Management,2,0.5,0.4,133.7,42.2,,
S00984,36.0293,-119.3358,DAF000499,dairy/manure,3A2 Manure Management,6,0.17,0.8,20.2,6.4,,
S00986,35.9573,-119.3729,DAF000531,dairy/manure,3A2 Manure Management,2,0.5,0.4,309.0,198.7,,
S00987,35.9728,-119.3611,DAF000735,dairy/manure,3A2 Manure Management,2,0.5,0.4,55.9,9.8,,
S00988,36.0586,-119.3797,DAF000516,dairy/manure,3A2 Manure Management,12,0.08,1.0,13.0,3.7,,
S00989,36.0723,-119.3641,DAF000883,dairy/manure,3A2 Manure Management,18,0.06,1.0,15.3,4.5,,
S00990,36.0815,-119.3372,DAF000260,dairy/manure,3A2 Manure Management,10,0.1,0.9,6.8,4.1,,
S00993,36.1840,-119.2194,DAF000716,dairy/manure,3A2 Manure Management,10,0.1,0.9,4.2,1.3,,
S00994,36.0611,-119.4021,DAF000894,dairy/manure,3A2 Manure Management,11,0.09,1.0,179.1,64.3,,
S00996,36.0478,-119.4560,DAF000121,dairy/manure,3A2 Manure Management,8,0.13,0.9,27.8,2.9,,
S00997,36.1594,-119.2830,DAF000171,dairy/manure,3A2 Manure Management,9,0.11,0.9,14.0,2.9,,
S00998,36.2072,-119.7590,NA,dairy/manure,3A2 Manure Management,2,0.5,0.4,74.0,12.3,,
S01000,37.8676,-121.0352,DAF000576,dairy/manure,3A2 Manure Management,2,0.5,0.4,13.4,3.5,,
S01001,37.8506,-121.1130,DAF000869,dairy/manure,3A2 Manure Management,3,0.33,0.6,28.1,9.3,,
S01007,37.0734,-120.3923,DAF000050,dairy/manure,3A2 Manure Management,1,1,0.3,41.8,18.0,,
S01008,37.0585,-120.4914,DAF000880,dairy/manure,3A2 Manure Management,1,1,0.3,294.2,124.6,,
S01009,36.0451,-119.4561,DAF000121,dairy/manure,3A2 Manure Management,9,0.11,0.9,51.3,18.0,,
S01011,35.1874,-119.1135,DAF000891,dairy/manure,3A2 Manure Management,17,0.18,1.0,40.6,12.7,,
S01014,35.1777,-119.1249,DAF000891,dairy/manure,3A2 Manure Management,15,0.07,1.0,5.5,5.0,,
S01017,35.2685,-119.3823,FLD000140,oil/gas pumpjack,1B2 Oil & Natural Gas,11,0.09,1.0,6.9,5.8,,
S01018,35.2674,-119.4086,FLD000140,oil/gas pumpjack,1B2 Oil & Natural Gas,12,0.25,1.0,19.3,13.8,,
S01019,35.2787,-119.4569,LNF000456,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,18,0.17,1.0,7.9,5.9,,
S01022,35.2952,-119.5280,FLD000140,oil/gas gathering line,1B2 Oil & Natural Gas,10,0.3,0.9,10.9,7.7,,
S01023,35.3006,-119.5438,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,9,0.11,0.9,6.6,4.5,,
S01024,35.3055,-119.5654,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,11,0.09,1.0,9.6,6.9,,
S01025,35.2824,-119.5062,FLD000140,oil/gas compressor,1B2 Oil & Natural Gas,18,0.17,1.0,4.5,3.4,,
S01026,35.2864,-119.5103,FLD000140,oil/gas compressor,1B2 Oil & Natural Gas,15,0.2,1.0,6.1,4.3,,
S01027,35.2793,-119.4373,FLD000140,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,17,0.06,1.0,2.8,1.3,,
S01034,35.4769,-119.3728,DAF000280,dairy/manure,3A2 Manure Management,10,0.1,0.9,6.2,2.1,,
S01035,35.4921,-119.3759,DAF000068,dairy/manure,3A2 Manure Management,9,0.11,0.9,4.9,0.9,,
S01036,35.2046,-119.1979,DAF000839,dairy/manure,3A2 Manure Management,11,0.09,1.0,24.2,3.4,,
S01037,35.2155,-119.2050,DAF000523,dairy/manure,3A2 Manure Management,12,0.08,1.0,54.4,10.9,,
S01038,35.2154,-119.2129,DAF000681,dairy/manure,3A2 Manure Management,12,0.08,1.0,35.4,11.8,,
S01039,35.2014,-119.0519,DAF000422,dairy/manure,3A2 Manure Management,12,0.17,1.0,33.6,9.9,,
S01040,35.2463,-119.1415,DAF000608,dairy/manure,3A2 Manure Management,8,0.13,0.9,43.6,7.4,,
S01041,35.2861,-119.1406,DAF000663,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,8,0.25,0.9,151.6,57.8,,
S01042,35.4791,-119.4470,DAF000604,dairy/manure,3A2 Manure Management,19,0.05,1.0,6.1,1.7,,
S01043,35.4940,-119.4504,DAF000604,dairy/manure,3A2 Manure Management,9,0.11,0.9,16.7,5.4,,
S01044,35.4517,-119.3765,DAF000815,dairy/manure,3A2 Manure Management,7,0.14,0.9,8.7,3.4,,
S01045,35.2500,-119.1162,DAF000866,dairy/manure,3A2 Manure Management,8,0.13,0.9,13.6,2.6,,
S01046,35.1887,-119.1159,DAF000891,dairy/manure,3A2 Manure Management,15,0.2,1.0,30.2,14.7,,
S01047,35.2025,-119.1717,DAF000589,dairy/manure,3A2 Manure Management,15,0.07,1.0,8.8,2.0,,
S01048,35.2151,-119.1859,DAF000649,dairy/manure,3A2 Manure Management,13,0.08,1.0,29.8,8.0,,
S01051,35.1878,-119.1146,DAF000891,dairy/manure,3A2 Manure Management,16,0.06,1.0,32.0,8.8,,
S01052,35.1781,-119.1232,DAF000891,dairy/manure - digester,3A2 Manure Management,12,0.17,1.0,54.3,17.0,,
S01056,35.1663,-119.1083,DAF000104,dairy/manure,3A2 Manure Management,39,0.03,1.0,13.6,3.6,,
S01057,35.1783,-119.1224,DAF000891,dairy/manure,3A2 Manure Management,12,0.08,1.0,16.6,3.3,,
S01058,35.2061,-119.1733,DAF000589,dairy/manure,3A2 Manure Management,13,0.08,1.0,9.9,2.1,,
S01059,35.2077,-119.1732,DAF000589,dairy/manure,3A2 Manure Management,13,0.08,1.0,22.8,5.6,,
S01060,35.2159,-119.2037,DAF000523,dairy/manure - digester,3A2 Manure Management,17,0.06,1.0,17.9,3.9,,
S01071,35.4771,-119.4477,DAF000604,dairy/manure,3A2 Manure Management,18,0.06,1.0,20.1,5.5,,
S01073,35.2521,-119.1587,DAF000097,dairy/manure,3A2 Manure Management,8,0.13,0.9,19.4,6.7,,
S01080,36.1900,-119.6028,NA,dairy/manure,3A2 Manure Management,6,0.17,0.8,7.3,2.4,,
S01081,36.1897,-119.6075,NA,dairy/manure,3A2 Manure Management,6,0.17,0.8,18.8,4.3,,
S01083,35.2133,-119.1857,DAF000649,dairy/manure,3A2 Manure Management,13,0.08,1.0,8.4,1.8,,
S01096,36.2667,-119.4063,DAF000382,dairy/manure,3A2 Manure Management,3,0.33,0.6,29.9,12.5,,
S01097,36.2489,-119.4967,DAF000724,dairy/manure,3A2 Manure Management,2,0.5,0.4,32.9,12.6,,
S01098,36.1642,-119.5348,DAF000009,dairy/manure,3A2 Manure Management,2,0.5,0.4,166.9,56.0,,
S01099,36.1705,-119.4234,DAF000753,dairy/manure,3A2 Manure Management,4,0.25,0.7,23.5,2.2,,
S01100,36.1343,-119.4589,DAF000201,dairy/manure,3A2 Manure Management,5,0.8,0.8,158.4,62.0,,
S01101,36.0885,-119.3794,DAF000403,dairy/manure,3A2 Manure Management,10,0.1,0.9,33.7,5.9,,
S01117,35.4746,-119.4311,DAF000888,dairy/manure,3A2 Manure Management,21,0.1,1.0,32.3,6.0,,
S01119,35.4734,-119.4317,DAF000888,dairy/manure,3A2 Manure Management,21,0.05,1.0,3.4,1.3,,
S01120,35.4732,-119.4333,DAF000888,dairy/manure,3A2 Manure Management,21,0.14,1.0,71.5,19.5,,
S01121,35.4728,-119.4308,DAF000888,dairy/manure,3A2 Manure Management,21,0.05,1.0,2.1,1.4,,
S01123,35.4754,-119.4327,DAF000888,dairy/manure,3A2 Manure Management,21,0.1,1.0,7.3,2.9,,
S01131,35.1663,-119.0973,DAF000104,dairy/manure,3A2 Manure Management,35,0.03,1.0,7.1,1.7,,
S01132,35.1659,-119.1054,DAF000104,dairy/manure,3A2 Manure Management,37,0.03,1.0,2.8,0.4,,
S01133,33.9281,-118.4296,WWT000068,wastewater treatment,4D1 Domestic Wastewater Treatment & Discharge,12,0.08,1.0,9.5,3.4,,
S01134,35.4706,-119.0626,LNF000335,oil/gas pumpjack,1B2 Oil & Natural Gas,20,0.15,1.0,16.5,4.1,,
S01135,35.4564,-119.0498,FLD000207,oil/gas pumpjack,1B2 Oil & Natural Gas,22,0.05,1.0,5.9,1.4,,
S01136,35.2894,-119.5147,FLD000140,oil/gas gathering line,1B2 Oil & Natural Gas,11,0.09,1.0,4.5,3.1,,
S01137,35.1772,-119.1233,DAF000891,dairy/manure - digester,3A2 Manure Management,13,0.08,1.0,32.8,7.9,,
S01138,38.0145,-122.1142,REF000019,refinery,1A1 Energy Industries,9,0.11,0.9,14.9,4.7,,
S01139,35.1772,-119.1233,DAF000523,dairy/manure - digester,3A2 Manure Management,13,0.08,1.0,56.2,16.2,,
SLF001,37.7488,-121.6548,LNF000022,landfill,4A1 Managed Waste Disposal Sites,8,1,1.0,1163.4,550.1,,
SLF002,34.5685,-118.1536,LNF000705,landfill,4A1 Managed Waste Disposal Sites,1,1,1.0,128.1,33.3,,
SLF003,35.3483,-118.7641,LNF000042,landfill,4A1 Managed Waste Disposal Sites,1,1,1.0,243.1,58.7,,
SLF004,34.3064,-116.8216,LNF000707,landfill,4A1 Managed Waste Disposal Sites,2,1,1.0,138.8,66.8,,
SLF005,34.0867,-117.2206,LNF000102,landfill,4A1 Managed Waste Disposal Sites,2,1,1.0,86.2,24.5,,
SLF006,34.4322,-118.6485,LNF000135,landfill,4A1 Managed Waste Disposal Sites,2,1,1.0,253.8,94.2,,
SLF007,34.4322,-118.6485,LNF000135,landfill,4A1 Managed Waste Disposal Sites,6,1,1.0,934.5,293.0,,
SLF008,37.4984,-122.4077,LNF000182,landfill,4A1 Managed Waste Disposal Sites,11,1,1.0,2672.7,1135.1,,
SLF009,37.8778,-121.1867,DAF000571,landfill,4A1 Managed Waste Disposal Sites,7,1,1.0,3008.9,1260.9,,
SLF010,33.7216,-117.7012,LNF000251,landfill,4A1 Managed Waste Disposal Sites,10,1,1.0,1962.0,1022.3,,
SLF011,33.6133,-117.8226,NA,landfill,4A1 Managed Waste Disposal Sites,3,1,1.0,827.1,529.8,,
SLF012,36.5298,-121.4045,LNF000124,landfill,4A1 Managed Waste Disposal Sites,4,1,1.0,98.2,34.3,,
SLF013,37.1853,-121.6639,LNF000343,landfill,4A1 Managed Waste Disposal Sites,1,1,1.0,261.3,144.1,,
SLF014,38.5295,-121.3742,LNF000345,landfill,4A1 Managed Waste Disposal Sites,4,1,1.0,40.5,9.6,,
SLF015,36.7101,-121.7588,LNF000421,landfill,4A1 Managed Waste Disposal Sites,5,1,1.0,1390.1,325.6,,
SLF016,37.4598,-121.9449,LNF000438,landfill,4A1 Managed Waste Disposal Sites,17,1,1.0,1922.4,825.6,,
SLF017,33.9404,-117.8316,LNF000470,landfill,4A1 Managed Waste Disposal Sites,11,1,1.0,264.5,100.7,,
SLF018,38.2092,-121.9715,LNF000503,landfill,4A1 Managed Waste Disposal Sites,13,1,1.0,1258.6,424.0,,
SLF019,38.1691,-122.5656,LNF000518,landfill,4A1 Managed Waste Disposal Sites,6,1,1.0,300.7,90.0,,
SLF020,38.5183,-121.1851,LNF000540,landfill,4A1 Managed Waste Disposal Sites,4,1,1.0,2131.1,563.5,,
SLF021,35.5082,-119.4072,DAF000068,landfill,4A1 Managed Waste Disposal Sites,11,1,1.0,326.9,120.0,,
SLF022,32.7339,-117.0657,LNF000599,landfill,4A1 Managed Waste Disposal Sites,1,1,1.0,602.3,103.0,,
SLF023,34.3271,-118.5160,LNF000615,landfill,4A1 Managed Waste Disposal Sites,60,1,1.0,1457.1,598.7,,
SLF024,34.4830,-120.1242,LNF000623,landfill,4A1 Managed Waste Disposal Sites,4,1,1.0,151.8,82.3,,
SLF025,34.4061,-118.9918,LNF000638,landfill,4A1 Managed Waste Disposal Sites,21,1,1.0,1195.0,637.0,,
SLF026,38.0264,-122.1678,NA,landfill,4A1 Managed Waste Disposal Sites,6,1,1.0,255.5,58.9,,
SLF027,37.7594,-121.7282,LNF000675,landfill,4A1 Managed Waste Disposal Sites,15,1,1.0,399.4,88.4,,
SLF028,34.5917,-117.2672,LNF000677,landfill,4A1 Managed Waste Disposal Sites,3,1,1.0,103.0,60.6,,
SLF029,36.3876,-119.3804,DAF000631,landfill,4A1 Managed Waste Disposal Sites,10,1,1.0,464.9,74.5,,
SLF030,32.8530,-117.1676,LNF000691,landfill,4A1 Managed Waste Disposal Sites,1,1,1.0,874.3,187.9,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,