Source identifier ,Source latitude (deg),Source longitude (deg),Vista ID,Source type ,IPCC sector,N overflights,Source Persistence (f),Confidence in persistence ,Qsource (kg/hr),sQ  (kg/hr)
S00006,34.4471,-118.5883,NSF000003,gas storage facility,1B2 Oil & Natural Gas,66,0.76,1,295.4,98.6
S00007,33.906,-118.4063,REF000005,refinery,1A1 Energy Industries,15,0.13,1,22.4,6.2
S00008,33.9054,-118.4064,REF000005,refinery,1A1 Energy Industries,14,0.14,1,15.4,5.3
S00011,33.777,-118.287,REF000013,refinery,1A1 Energy Industries,11,0.09,1,4.9,2.4
S00012,33.7726,-118.2864,REF000013,refinery,1A1 Energy Industries,11,0.27,1,21.1,10.4
S00014,33.8047,-118.2439,REF000012,refinery,1A1 Energy Industries,21,0.19,1,7.7,2.2
S00016,33.8158,-118.2469,REF000021,refinery,1A1 Energy Industries,23,0.04,1,2.8,1.7
S00017,33.9727,-117.6999,NA,gas distribution line,1B2 Oil & Natural Gas,9,0.33,0.9,92.8,35.2
S00019,34.7799,-116.5943,COM000458,gas compressor,1B2 Oil & Natural Gas,8,0.13,0.9,15.3,9.3
S00022,35.1851,-119.1021,DAF001565,dairy/manure,3A2 Manure Management,13,0.08,1,9.6,1.6
S00023,35.2007,-119.0524,DAF000800,dairy/manure,3A2 Manure Management,12,0.33,1,109.3,32.5
S00024,35.2139,-118.988,DAF001382,dairy/manure,3A2 Manure Management,1,1,0.3,122.2,54.1
S00025,35.175,-119.1243,DAF000259,dairy/manure,3A2 Manure Management,19,0.05,1,6,0.6
S00027,35.186,-119.1034,DAF001565,dairy/manure,3A2 Manure Management,14,0.07,1,13.1,1.6
S00029,35.204,-119.1989,DAF001627,dairy/manure,3A2 Manure Management,11,0.09,1,50.9,17.9
S00030,35.2143,-119.2074,DAF001290,dairy/manure,3A2 Manure Management,12,0.17,1,49.4,9.8
S00031,35.2143,-119.2097,DAF001290,dairy/manure,3A2 Manure Management,13,0.08,1,21.1,3.1
S00032,35.2025,-119.1988,DAF001627,dairy/manure,3A2 Manure Management,11,0.09,1,14.5,5
S00033,35.2514,-119.1572,DAF001256,dairy/manure,3A2 Manure Management,8,0.13,0.9,23.5,6
S00035,36.0005,-119.5009,DAF001767,dairy/manure,3A2 Manure Management,1,1,0.3,294.4,114.5
S00036,35.9909,-119.4919,DAF001767,dairy/manure,3A2 Manure Management,2,0.5,0.4,53.2,16.3
S00037,36.0185,-119.4168,DAF001144,dairy/manure,3A2 Manure Management,9,0.22,0.9,57.3,33.3
S00038,36.0445,-119.2168,DAF000351,dairy/manure,3A2 Manure Management,1,1,0.3,137,76.4
S00039,36.0935,-119.3397,DAF001455,dairy/manure,3A2 Manure Management,8,0.25,0.9,29.4,2
S00041,36.0735,-119.4409,DAF000642,dairy/manure - digester,3A2 Manure Management,9,0.56,0.9,170.6,51.4
S00042,37.9864,-121.4738,NSF000010,gas storage facility,1B2 Oil & Natural Gas,20,0.5,1,64.6,23.4
S00043,36.0786,-119.4416,DAF000642,dairy/manure,3A2 Manure Management,10,0.1,0.9,0.9,0.5
S00048,36.1414,-119.536,DAF000553,dairy/manure,3A2 Manure Management,2,0.5,0.4,132.9,42.8
S00049,36.2158,-119.1659,DAF001284,dairy/manure,3A2 Manure Management,8,0.13,0.9,11.2,2.8
S00050,36.2032,-119.1911,DAF000375,dairy/manure,3A2 Manure Management,8,0.13,0.9,11.2,2.8
S00051,36.1653,-119.5379,DAF001911,dairy/manure,3A2 Manure Management,2,0.5,0.4,142.1,37.6
S00053,36.164,-119.6925,DAF001779,dairy/manure,3A2 Manure Management,3,0.33,0.6,18.9,2.3
S00054,36.1824,-119.6591,DAF000293,dairy/manure,3A2 Manure Management,9,0.11,0.9,1.2,0.3
S00060,36.2055,-119.5324,DAF001127,dairy/manure,3A2 Manure Management,2,0.5,0.4,7.8,4.4
S00067,36.2486,-119.4982,DAF000387,dairy/manure,3A2 Manure Management,2,0.5,0.4,79.7,22.8
S00068,36.23,-119.6132,DAF001093,dairy/manure,3A2 Manure Management,2,0.5,0.4,134.5,57.1
S00071,36.2422,-119.5489,DAF001660,dairy/manure,3A2 Manure Management,3,0.33,0.6,53.1,15.2
S00074,36.2761,-119.4522,DAF001426,dairy/manure,3A2 Manure Management,5,0.4,0.8,135.9,33.5
S00075,36.2623,-119.6278,DAF000419,dairy/manure,3A2 Manure Management,4,0.5,0.7,34.1,7.9
S00078,34.3857,-118.4967,FAB002088,oil/gas tank,1B2 Oil & Natural Gas,11,0.09,1,7.1,2.4
S00080,34.4474,-118.5867,NSF000003,gas compressor,1B2 Oil & Natural Gas,66,0.29,1,134.4,51.8
S00081,36.4994,-119.6175,DAF001805,wastewater treatment,4D2 Industrial Wastewater Treatment & Discharge,7,0.86,0.9,411.1,176
S00082,36.4138,-119.8651,DAF000626,dairy/manure,3A2 Manure Management,3,0.33,0.6,87.8,32.5
S00083,35.1666,-119.1019,DAF000177,dairy/manure,3A2 Manure Management,35,0.17,1,40.1,11.3
S00088,33.8562,-117.0803,DAF001121,dairy/manure,3A2 Manure Management,1,1,0.3,47.3,21.7
S00089,34.0021,-117.6164,DAF001110,dairy/manure,3A2 Manure Management,3,0.33,0.6,24.5,7
S00090,36.7243,-120.2339,DAF001811,dairy/manure,3A2 Manure Management,3,0.33,0.6,34.5,15.9
S00091,34.3805,-118.4982,FLD000337,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,11,0.09,1,20.9,4.2
S00092,34.3852,-118.4963,FAB002088,oil/gas tank,1B2 Oil & Natural Gas,11,0.09,1,12.4,3.2
S00094,38.0423,-122.2523,REF000014,refinery,1A1 Energy Industries,15,0.67,1,109.6,56.5
S00098,37.9368,-122.4044,REF000004,refinery,1A1 Energy Industries,6,0.17,0.8,27.2,8.8
S00099,37.9497,-122.3966,REF000004,refinery,1A1 Energy Industries,13,0.62,1,373.1,161.8
S00102,33.995,-118.1521,LNG000013,gas LNG station,1B2 Oil & Natural Gas,7,0.14,0.9,19.8,5.3
S00103,34.0016,-118.3693,FAB001738,oil/gas tank,1B2 Oil & Natural Gas,11,0.64,1,77.8,20.1
S00104,36.1638,-120.3952,FLD000090,oil/gas gathering line,1B2 Oil & Natural Gas,4,0.25,0.7,75.7,24
S00105,36.209,-120.3931,FAB000050,oil/gas waste lagoon,1B2 Oil & Natural Gas,2,0.5,0.4,97,21.6
S00106,35.446,-119.015,FLD000208,oil/gas drill rig,1B2 Oil & Natural Gas,9,0.44,0.9,56.3,15.4
S00107,35.4708,-119.0394,FAB003100,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,9,0.11,0.9,45.8,10.9
S00110,35.4829,-119.0576,FLD000207,oil/gas pumpjack,1B2 Oil & Natural Gas,9,0.33,0.9,61.4,9.2
S00116,35.499,-119.0721,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,12,0.58,1,168.6,32.9
S00117,35.5061,-119.0741,FLD000344,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,18,0.22,1,33.9,7.2
S00118,35.5075,-119.0742,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,21,0.24,1,41.5,9.3
S00119,35.4749,-119.4306,DAF001720,dairy/manure,3A2 Manure Management,8,0.25,0.9,98.4,21.4
S00120,35.2382,-119.5914,FLD000285,oil/gas gathering line,1B2 Oil & Natural Gas,6,0.17,0.8,43.9,16.9
S00121,35.3647,-119.67,FLD000112,oil/gas gathering line,1B2 Oil & Natural Gas,7,0.71,0.9,57.3,2.2
S00122,35.4805,-119.7431,NPP000003,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,3,0.33,0.6,37,18.4
S00123,35.5292,-119.7695,FLD000027,oil/gas gathering line,1B2 Oil & Natural Gas,3,0.33,0.6,45.4,11.2
S00124,35.2272,-119.5784,FLD000285,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,4,0.25,0.7,41.7,7.7
S00125,35.248,-119.5808,LNF000030,oil/gas gathering line,1B2 Oil & Natural Gas,6,0.17,0.8,65.5,19.8
S00126,35.2536,-119.5865,FLD000285,oil/gas gathering line,1B2 Oil & Natural Gas,8,0.13,0.9,44,14.8
S00127,35.3419,-119.6461,FLD000112,oil/gas gathering line,1B2 Oil & Natural Gas,4,0.25,0.7,36.6,10.3
S00128,35.4296,-119.6902,FAB000055,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,3,0.33,0.6,45.3,13.4
S00129,35.1236,-119.4991,FAB002878,oil/gas tank,1B2 Oil & Natural Gas,3,0.33,0.6,28.8,7.5
S00130,35.1151,-119.467,FLD000285,oil/gas gathering line,1B2 Oil & Natural Gas,7,0.29,0.9,29.3,8.8
S00131,35.0412,-119.3841,FAB002602,oil/gas tank,1B2 Oil & Natural Gas,3,0.33,0.6,13.7,4
S00132,35.0271,-119.3329,FAB001281,oil/gas tank,1B2 Oil & Natural Gas,3,0.33,0.6,23.9,3.9
S00133,35.0615,-119.3909,FLD000285,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,6,0.17,0.8,10.9,4.4
S00135,35.0459,-119.3497,FLD000285,dairy/manure,3A2 Manure Management,3,0.33,0.6,24.3,5.3
S00136,35.1325,-119.4866,FLD000285,oil/gas pumpjack,1B2 Oil & Natural Gas,4,0.25,0.7,14.6,4.6
S00137,35.1309,-119.4865,FLD000285,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,5,0.2,0.8,9.4,2.7
S00141,33.7794,-118.2351,REF000025,refinery,1A1 Energy Industries,13,0.08,1,3.1,1.3
S00145,33.8162,-118.2357,REF000021,refinery,1A1 Energy Industries,14,0.14,1,31.4,9
S00149,35.2148,-119.2108,DAF001290,dairy/manure,3A2 Manure Management,13,0.38,1,100.2,32
S00150,35.2438,-119.1574,DAF001256,dairy/manure,3A2 Manure Management,15,0.13,1,29.2,9.3
S00151,35.2463,-119.1404,DAF001141,dairy/manure,3A2 Manure Management,8,0.38,0.9,41.8,11.6
S00152,35.9013,-119.3199,DAF001759,dairy/manure,3A2 Manure Management,2,0.5,0.4,96.1,25.4
S00153,34.9015,-117.16,COM000219,gas compressor,1B2 Oil & Natural Gas,3,0.33,0.6,62.6,10.1
S00156,35.9593,-119.3722,DAF001916,dairy/manure,3A2 Manure Management,2,0.5,0.4,11.8,7.1
S00159,35.9727,-119.359,DAF001404,dairy/manure,3A2 Manure Management,2,0.5,0.4,86.7,43.2
S00160,35.9873,-119.3264,DAF000821,dairy/manure,3A2 Manure Management,2,0.5,0.4,67.1,26.1
S00164,35.9739,-119.4391,DAF001523,dairy/manure,3A2 Manure Management,1,1,0.3,49,18.4
S00165,36.0153,-119.2233,DAF000921,dairy/manure,3A2 Manure Management,1,1,0.3,35.3,13
S00171,36.0289,-119.325,DAF000937,dairy/manure,3A2 Manure Management,2,0.5,0.4,20.3,6.5
S00176,36.0216,-119.5195,DAF001287,dairy/manure,3A2 Manure Management,5,0.6,0.8,214.9,81.5
S00177,36.0324,-119.5103,DAF001287,dairy/manure - digester,3A2 Manure Management,16,0.63,1,144.4,50.2
S00178,36.0395,-119.398,DAF001009,dairy/manure,3A2 Manure Management,15,0.07,1,2.7,0.9
S00181,36.0761,-119.1955,DAF000554,dairy/manure,3A2 Manure Management,1,1,0.3,46.4,26.4
S00183,36.049,-119.4558,DAF000209,dairy/manure,3A2 Manure Management,8,0.13,0.9,14.5,3.7
S00186,36.0879,-119.237,DAF000373,dairy/manure,3A2 Manure Management,2,0.5,0.4,47.8,23.2
S00191,36.1158,-119.3621,DAF000514,dairy/manure,3A2 Manure Management,8,0.25,0.9,16.2,4.9
S00192,36.1259,-119.3413,DAF001158,dairy/manure,3A2 Manure Management,11,0.09,1,6.4,2.6
S00193,36.1162,-119.3342,DAF001588,dairy/manure,3A2 Manure Management,11,0.18,1,16.7,5.4
S00194,36.1285,-119.4311,DAF000044,dairy/manure,3A2 Manure Management,4,0.25,0.7,22.3,4.1
S00195,36.1563,-119.2404,DAF001917,dairy/manure,3A2 Manure Management,8,0.13,0.9,12.2,3.6
S00196,36.1611,-119.2178,DAF001782,dairy/manure,3A2 Manure Management,1,1,0.3,66.4,10
S00198,37.1233,-120.3635,DAF000550,dairy/manure,3A2 Manure Management,1,1,0.3,59.7,20.4
S00199,37.1573,-120.3917,DAF001701,dairy/manure,3A2 Manure Management,2,0.5,0.4,411.1,140.1
S00200,37.2087,-120.4638,DAF001367,dairy/manure,3A2 Manure Management,2,0.5,0.4,156.1,49.9
S00201,37.1802,-120.4353,DAF001410,dairy/manure,3A2 Manure Management,2,0.5,0.4,53.9,31.9
S00203,36.0333,-119.4048,DAF001516,dairy/manure,3A2 Manure Management,16,0.06,1,10.5,1.8
S00204,36.0388,-119.3979,DAF001009,dairy/manure,3A2 Manure Management,15,0.27,1,63.3,23
S00205,36.0532,-119.3977,DAF000529,dairy/manure,3A2 Manure Management,12,0.17,1,9.4,2.9
S00206,36.2272,-119.1638,DAF000759,dairy/manure,3A2 Manure Management,8,0.13,0.9,14.9,5.5
S00207,36.1567,-119.2831,DAF000328,dairy/manure,3A2 Manure Management,11,0.18,1,44.6,13.4
S00208,36.2127,-119.199,DAF001248,dairy/manure,3A2 Manure Management,7,0.43,0.9,47.6,12.5
S00209,36.0867,-119.3356,DAF000511,dairy/manure,3A2 Manure Management,9,0.11,0.9,13.4,1.1
S00210,36.1154,-119.2907,DAF001378,dairy/manure,3A2 Manure Management,7,0.29,0.9,23.1,5.7
S00211,36.1565,-119.2655,DAF001034,dairy/manure,3A2 Manure Management,10,0.2,0.9,64.6,18.8
S00212,36.2289,-119.1633,DAF000759,dairy/manure,3A2 Manure Management,8,0.25,0.9,13.9,2.8
S00213,36.232,-119.166,DAF000759,dairy/manure,3A2 Manure Management,11,0.18,1,13.8,2.4
S00216,36.2259,-119.1636,DAF000759,dairy/manure,3A2 Manure Management,7,0.14,0.9,10,4.8
S00217,36.2265,-119.1636,DAF000759,dairy/manure,3A2 Manure Management,7,0.14,0.9,18.2,6.7
S00218,36.1203,-119.3147,DAF001912,dairy/manure,3A2 Manure Management,11,0.09,1,5.4,0.9
S00219,36.1567,-119.2823,DAF000328,dairy/manure,3A2 Manure Management,9,0.33,0.9,54.8,14
S00220,36.1025,-119.3735,DAF000113,dairy/manure,3A2 Manure Management,10,0.4,0.9,177.9,54.1
S00221,36.1449,-119.265,DAF001312,dairy/manure,3A2 Manure Management,7,0.14,0.9,12.2,1.5
S00222,36.156,-119.2399,DAF001917,dairy/manure,3A2 Manure Management,8,0.25,0.9,41.8,7.4
S00223,36.2275,-119.1638,DAF000759,dairy/manure,3A2 Manure Management,8,0.13,0.9,44.7,12.3
S00225,36.1696,-119.2752,DAF001634,dairy/manure,3A2 Manure Management,9,0.11,0.9,10.9,4.1
S00226,36.1592,-119.2647,DAF001034,dairy/manure,3A2 Manure Management,13,0.08,1,13.1,1.2
S00228,36.2275,-119.1638,DAF000759,dairy/manure,3A2 Manure Management,8,0.13,0.9,12.2,2
S00229,36.0702,-119.3895,DAF000400,dairy/manure,3A2 Manure Management,13,0.08,1,14.5,5.6
S00231,36.077,-119.3854,DAF001249,dairy/manure,3A2 Manure Management,12,0.17,1,81,46.3
S00232,36.225,-119.1794,DAF001918,dairy/manure,3A2 Manure Management,7,0.14,0.9,13.8,2.4
S00233,36.2265,-119.1802,DAF001918,dairy/manure,3A2 Manure Management,7,0.14,0.9,15.1,3.4
S00238,36.3526,-119.4957,DAF000392,dairy/manure,3A2 Manure Management,3,0.33,0.6,46.8,8.9
S00240,36.3876,-119.3265,DAF001354,dairy/manure,3A2 Manure Management,1,1,0.3,265.6,62.9
S00244,36.3878,-119.4226,DAF000461,dairy/manure,3A2 Manure Management,1,1,0.3,228.5,33.4
S00251,36.4124,-119.3673,DAF001186,dairy/manure,3A2 Manure Management,10,0.5,0.9,125.2,31.6
S00252,36.3962,-119.5226,DAF000370,dairy/manure,3A2 Manure Management,1,1,0.3,108.9,34.1
S00258,36.4545,-119.2816,DAF000381,dairy/manure,3A2 Manure Management,1,1,0.3,109.5,28.8
S00259,36.4531,-119.399,DAF000717,dairy/manure,3A2 Manure Management,1,1,0.3,74.4,23.8
S00260,36.4719,-119.2706,DAF000411,dairy/manure,3A2 Manure Management,1,1,0.3,143.7,17.8
S00264,36.4719,-119.3431,DAF000515,dairy/manure,3A2 Manure Management,4,1,0.7,142.9,32.9
S00270,36.4361,-120.0102,DAF000789,dairy/manure,3A2 Manure Management,1,1,0.3,153,18.4
S00272,36.4827,-120.0742,DAF001468,dairy/manure,3A2 Manure Management,2,0.5,0.4,12.7,7.4
S00273,36.4367,-119.9875,DAF000973,dairy/manure,3A2 Manure Management,1,1,0.3,105,36.4
S00276,36.583,-120.055,DAF001809,dairy/manure,3A2 Manure Management,2,0.5,0.4,31.1,11.8
S00277,36.5304,-119.9751,DAF001559,dairy/manure,3A2 Manure Management,2,0.5,0.4,22.2,16.7
S00278,37.2696,-120.3694,DAF000446,dairy/manure,3A2 Manure Management,1,1,0.3,93.8,21.2
S00280,37.2154,-120.4233,DAF001919,dairy/manure,3A2 Manure Management,1,1,0.3,158.5,72.9
S00281,37.2332,-120.4562,DAF000777,dairy/manure,3A2 Manure Management,1,1,0.3,103.7,20.5
S00284,37.1665,-120.3741,DAF000378,dairy/manure,3A2 Manure Management,1,1,0.3,169.1,20.6
S00286,35.475,-119.4317,DAF001720,dairy/manure,3A2 Manure Management,21,0.1,1,22.5,4.4
S00290,36.0492,-119.456,DAF000209,dairy/manure,3A2 Manure Management,8,0.25,0.9,20.5,4.4
S00291,36.7927,-120.2528,NSF000002,gas storage facility,1B2 Oil & Natural Gas,17,0.76,1,190.5,55.1
S00293,38.0207,-122.1156,REF000019,refinery,1A1 Energy Industries,7,0.14,0.9,9.8,4.3
S00295,34.0235,-118.0345,LNG000020,gas LNG station,1B2 Oil & Natural Gas,8,0.13,0.9,32.2,7.8
S00296,36.1824,-119.6593,DAF000293,dairy/manure,3A2 Manure Management,9,0.11,0.9,14.3,2.6
S00299,35.3291,-119.6686,FLD000277,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,11,0.91,1,196.8,56.4
S00300,35.2749,-119.4775,FLD000140,gas processing plant,1B2 Oil & Natural Gas,19,0.32,1,198.7,53.8
S00301,35.2682,-119.4574,LNF000456,oil/gas gathering line,1B2 Oil & Natural Gas,8,0.13,0.9,65.3,9.4
S00302,35.2451,-119.3855,FLD000140,oil/gas gathering line,1B2 Oil & Natural Gas,7,0.14,0.9,55.8,11.1
S00303,35.2828,-119.4968,FLD000140,oil/gas compressor,1B2 Oil & Natural Gas,18,0.06,1,13.2,2
S00304,35.4552,-119.0488,FLD000207,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,22,0.09,1,61.2,30.4
S00307,35.2806,-119.4784,PWP000135,oil/gas compressor,1B2 Oil & Natural Gas,18,0.28,1,22.2,7.5
S00312,33.9589,-117.6263,DAF000543,dairy/manure,3A2 Manure Management,1,1,0.3,81,16.6
S00322,35.5117,-119.0745,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,13,0.46,1,80.5,21.7
S00323,35.5156,-119.0758,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,15,0.4,1,101.2,30.9
S00324,35.5183,-119.0782,FAB001490,oil/gas tank,1B2 Oil & Natural Gas,15,0.27,1,63.2,21.6
S00325,35.534,-119.0832,FLD000344,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,18,0.28,1,134.7,41.9
S00326,35.457,-119.0546,FAB000412,oil/gas tank,1B2 Oil & Natural Gas,22,0.18,1,54,16.5
S00327,35.4571,-119.0495,FLD000207,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,20,0.05,1,29.9,6.9
S00328,35.4554,-119.0498,FLD000207,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,22,0.05,1,13.4,5.5
S00329,35.5305,-119.0777,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,22,0.05,1,8.5,2.1
S00330,35.4562,-119.0528,FLD000207,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,22,0.05,1,36.4,10.3
S00332,35.4591,-119.053,FLD000207,oil/gas pumpjack,1B2 Oil & Natural Gas,22,0.18,1,19.6,6.3
S00333,35.5304,-119.08,FLD000344,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,20,0.05,1,13.8,6.1
S00337,33.8487,-118.3341,REF000006,refinery,1A1 Energy Industries,24,0.5,1,305.8,104.9
S00342,35.5972,-118.9673,FAB003066,oil/gas tank,1B2 Oil & Natural Gas,4,0.25,0.7,65.5,18.7
S00343,35.5971,-118.9671,FAB003066,oil/gas tank,1B2 Oil & Natural Gas,5,0.2,0.8,12.5,5.5
S00344,35.4903,-118.8861,FLD000380,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,4,0.25,0.7,57.8,9.9
S00345,35.4927,-118.8905,FLD000380,oil/gas pumpjack,1B2 Oil & Natural Gas,4,0.25,0.7,26.9,21.5
S00346,35.4924,-118.8971,FLD000380,oil/gas tank,1B2 Oil & Natural Gas,7,0.14,0.9,78.5,31.4
S00347,35.4947,-118.8966,FLD000380,oil/gas gathering line,1B2 Oil & Natural Gas,7,0.14,0.9,14.5,7.1
S00349,35.5158,-119.0386,FLD000207,oil/gas tank,1B2 Oil & Natural Gas,8,0.38,0.9,93.6,37
S00350,35.5357,-119.0825,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,18,0.06,1,17.8,6.8
S00352,35.4733,-119.0578,FAB003082,oil/gas tank,1B2 Oil & Natural Gas,20,0.15,1,31.2,10.5
S00353,35.4627,-119.0507,LNF000335,oil/gas pumpjack,1B2 Oil & Natural Gas,13,0.15,1,22.5,6.5
S00355,35.3752,-119.0808,REF000003,refinery,1A1 Energy Industries,6,0.33,0.8,53.1,15.4
S00357,35.3717,-119.0769,REF000003,refinery,1A1 Energy Industries,6,0.17,0.8,27.6,5.4
